circuitId,circuitName,urlMap,urlCircuit
albert_park,Albert Park Grand Prix Circuit,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Albert_Park_Circuit_2021.svg/330px-Albert_Park_Circuit_2021.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Albert_Park_circuit_main_straight%2C_pictured_from_above_teams%27_garages_in_2022.jpg/330px-Albert_Park_circuit_main_straight%2C_pictured_from_above_teams%27_garages_in_2022.jpg
bahrain,Bahrain International Circuit,https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Bahrain_International_Circuit--Grand_Prix_Layout.svg/375px-Bahrain_International_Circuit--Grand_Prix_Layout.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Bahrain_International_Circuit_back_straight.jpg/330px-Bahrain_International_Circuit_back_straight.jpg
catalunya,Circuit de Barcelona-Catalunya,https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/Circuit_de_Catalunya_moto_2021.svg/375px-Circuit_de_Catalunya_moto_2021.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Curvas_1-6_de_Circuit_de_Barcelona-Catalunya_Montmel%C3%B3_%282023%29.jpg/330px-Curvas_1-6_de_Circuit_de_Barcelona-Catalunya_Montmel%C3%B3_%282023%29.jpg
hockenheimring,Hockenheimring,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Hockenheim2012.svg/330px-Hockenheim2012.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/Kimi_Raikkonen_-_Turn_1_of_the_Hockenheimring_-_2014_German_Grand_Prix.jpg/330px-Kimi_Raikkonen_-_Turn_1_of_the_Hockenheimring_-_2014_German_Grand_Prix.jpg
hungaroring,Hungaroring,https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Hungaroring.svg/390px-Hungaroring.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Hungaroring%2C_April_28%2C_2018_SkySat_%28cropped%29.jpg/330px-Hungaroring%2C_April_28%2C_2018_SkySat_%28cropped%29.jpg
interlagos,Autódromo José Carlos Pace,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Aut%C3%B3dromo_Jos%C3%A9_Carlos_Pace_%28AKA_Interlagos%29_track_map.svg/390px-Aut%C3%B3dromo_Jos%C3%A9_Carlos_Pace_%28AKA_Interlagos%29_track_map.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Aut%C3%B3dromo_Jos%C3%A9_Carlos_Pace%2C_July_3%2C_2018_SkySat_%28cropped%29.jpg/330px-Aut%C3%B3dromo_Jos%C3%A9_Carlos_Pace%2C_July_3%2C_2018_SkySat_%28cropped%29.jpg
istanbul,Istanbul Park,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Istanbul_park.svg/375px-Istanbul_park.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/GPTurkey05_start.jpg/405px-GPTurkey05_start.jpg
marina_bay,Marina Bay Street Circuit,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Planned_2023_Marina_Bay_Street_Circuit_layout.png/330px-Planned_2023_Marina_Bay_Street_Circuit_layout.png,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/Marina_Bay_Street_Circuit%2C_May_8%2C_2018_SkySat_%28cropped%29.jpg/330px-Marina_Bay_Street_Circuit%2C_May_8%2C_2018_SkySat_%28cropped%29.jpg
monaco,Circuit de Monaco,https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Monte_Carlo_Formula_1_track_map.svg/375px-Monte_Carlo_Formula_1_track_map.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Circuit_de_Monaco%2C_April_1%2C_2018_SkySat_%28cropped%29.jpg/330px-Circuit_de_Monaco%2C_April_1%2C_2018_SkySat_%28cropped%29.jpg
monza,Autodromo Nazionale di Monza,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Monza_track_map.svg/390px-Monza_track_map.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Autodromo_Nazionale_Monza%2C_April_22%2C_2018_SkySat_%28cropped%29.jpg/330px-Autodromo_Nazionale_Monza%2C_April_22%2C_2018_SkySat_%28cropped%29.jpg
