constructorId,points,position,positionText,wins
ferrari,43.0,1,1,1
mclaren,21.0,2,2,0
mercedes,18.0,3,3,0
red_bull,16.0,4,4,0
force_india,2.0,5,5,0
williams,1.0,6,6,0
renault,0.0,7,7,0
toro_rosso,0.0,8,8,0
lotus_racing,0.0,9,9,0
sauber,0.0,10,10,0
hrt,0.0,11,11,0
virgin,0.0,12,12,0
ferrari,70.0,1,1,1
mclaren,54.0,2,2,1
mercedes,29.0,3,3,0
renault,18.0,4,4,0
red_bull,18.0,5,5,0
force_india,8.0,6,6,0
williams,5.0,7,7,0
toro_rosso,0.0,8,8,0
sauber,0.0,9,9,0
lotus_racing,0.0,10,10,0
hrt,0.0,11,11,0
virgin,0.0,12,12,0
ferrari,76.0,1,1,1
mclaren,66.0,2,2,1
red_bull,61.0,3,3,1
mercedes,44.0,4,4,0
renault,30.0,5,5,0
force_india,18.0,6,6,0
williams,6.0,7,7,0
toro_rosso,2.0,8,8,0
sauber,0.0,9,9,0
lotus_racing,0.0,10,10,0
hrt,0.0,11,11,0
virgin,0.0,12,12,0
mclaren,109.0,1,1,2
ferrari,90.0,2,2,1
red_bull,73.0,3,3,1
mercedes,60.0,4,4,0
renault,46.0,5,5,0
force_india,18.0,6,6,0
williams,6.0,7,7,0
toro_rosso,2.0,8,8,0
sauber,0.0,9,9,0
lotus_racing,0.0,10,10,0
hrt,0.0,11,11,0
virgin,0.0,12,12,0
mclaren,119.0,1,1,2
ferrari,116.0,2,2,1
red_bull,113.0,3,3,2
mercedes,72.0,4,4,0
renault,50.0,5,5,0
force_india,24.0,6,6,0
williams,8.0,7,7,0
toro_rosso,3.0,8,8,0
sauber,0.0,9,9,0
lotus_racing,0.0,10,10,0
hrt,0.0,11,11,0
virgin,0.0,12,12,0
red_bull,156.0,1,1,3
ferrari,136.0,2,2,1
mclaren,129.0,3,3,2
mercedes,78.0,4,4,0
renault,65.0,5,5,0
force_india,30.0,6,6,0
williams,8.0,7,7,0
toro_rosso,4.0,8,8,0
sauber,0.0,9,9,0
lotus_racing,0.0,10,10,0
hrt,0.0,11,11,0
virgin,0.0,12,12,0
mclaren,172.0,1,1,3
