driverId,points,position,positionText,wins
alonso,25.0,1,1,1
massa,18.0,2,2,0
hamilton,15.0,3,3,0
vettel,12.0,4,4,0
rosberg,10.0,5,5,0
michael_schumacher,8.0,6,6,0
button,6.0,7,7,0
webber,4.0,8,8,0
liuzzi,2.0,9,9,0
barrichello,1.0,10,10,0
kubica,0.0,11,11,0
sutil,0.0,12,12,0
alguersuari,0.0,13,13,0
hulkenberg,0.0,14,14,0
kovalainen,0.0,15,15,0
buemi,0.0,16,16,0
trulli,0.0,17,17,0
rosa,0.0,18,18,0
bruno_senna,0.0,19,19,0
glock,0.0,20,20,0
petrov,0.0,21,21,0
kobayashi,0.0,22,22,0
grassi,0.0,23,23,0
chandhok,0.0,24,24,0
alonso,37.0,1,1,1
massa,33.0,2,2,0
button,31.0,3,3,1
hamilton,23.0,4,4,0
rosberg,20.0,5,5,0
kubica,18.0,6,6,0
vettel,12.0,7,7,0
michael_schumacher,9.0,8,8,0
liuzzi,8.0,9,9,0
webber,6.0,10,10,0
barrichello,5.0,11,11,0
alguersuari,0.0,12,12,0
sutil,0.0,13,13,0
rosa,0.0,14,14,0
kovalainen,0.0,15,15,0
chandhok,0.0,16,16,0
hulkenberg,0.0,17,17,0
buemi,0.0,18,18,0
trulli,0.0,19,19,0
bruno_senna,0.0,20,20,0
glock,0.0,21,21,0
petrov,0.0,22,22,0
kobayashi,0.0,23,23,0
grassi,0.0,24,24,0
massa,39.0,1,1,0
alonso,37.0,2,2,1
vettel,37.0,3,3,1
button,35.0,4,4,1
rosberg,35.0,5,5,0
hamilton,31.0,6,6,0
kubica,30.0,7,7,0
webber,24.0,8,8,0
sutil,10.0,9,9,0
michael_schumacher,9.0,10,10,0
liuzzi,8.0,11,11,0
barrichello,5.0,12,12,0
alguersuari,2.0,13,13,0
hulkenberg,1.0,14,14,0
buemi,0.0,15,15,0
rosa,0.0,16,16,0
kovalainen,0.0,17,17,0
chandhok,0.0,18,18,0
grassi,0.0,19,19,0
bruno_senna,0.0,20,20,0
trulli,0.0,21,21,0
glock,0.0,22,22,0
petrov,0.0,23,23,0
kobayashi,0.0,24,24,0
button,60.0,1,1,2
rosberg,50.0,2,2,0
alonso,49.0,3,3,1
hamilton,49.0,4,4,0
vettel,45.0,5,5,1
massa,41.0,6,6,0
kubica,40.0,7,7,0
webber,28.0,8,8,0
sutil,10.0,9,9,0
michael_schumacher,10.0,10,10,0
liuzzi,8.0,11,11,0
petrov,6.0,12,12,0
barrichello,5.0,13,13,0
alguersuari,2.0,14,14,0
hulkenberg,1.0,15,15,0
buemi,0.0,16,16,0
rosa,0.0,17,17,0
kovalainen,0.0,18,18,0
chandhok,0.0,19,19,0
grassi,0.0,20,20,0
bruno_senna,0.0,21,21,0
trulli,0.0,22,22,0
glock,0.0,23,23,0
kobayashi,0.0,24,24,0
button,70.0,1,1,2
alonso,67.0,2,2,1
vettel,60.0,3,3,1
webber,53.0,4,4,1
rosberg,50.0,5,5,0
hamilton,49.0,6,6,0
massa,49.0,7,7,0
kubica,44.0,8,8,0
michael_schumacher,22.0,9,9,0
sutil,16.0,10,10,0
liuzzi,8.0,11,11,0
barrichello,7.0,12,12,0
petrov,6.0,13,13,0
alguersuari,3.0,14,14,0
hulkenberg,1.0,15,15,0
buemi,0.0,16,16,0
rosa,0.0,17,17,0
kobayashi,0.0,18,18,0
kovalainen,0.0,19,19,0
chandhok,0.0,20,20,0
grassi,0.0,21,21,0
bruno_senna,0.0,22,22,0
trulli,0.0,23,23,0
glock,0.0,24,24,0
webber,78.0,1,1,2
vettel,78.0,2,2,1
alonso,75.0,3,3,1
button,70.0,4,4,2
massa,61.0,5,5,0
kubica,59.0,6,6,0
hamilton,59.0,7,7,0
rosberg,56.0,8,8,0
michael_schumacher,22.0,9,9,0
sutil,20.0,10,10,0
liuzzi,10.0,11,11,0
barrichello,7.0,12,12,0
petrov,6.0,13,13,0
alguersuari,3.0,14,14,0
buemi,1.0,15,15,0
hulkenberg,1.0,16,16,0
rosa,0.0,17,17,0
kobayashi,0.0,18,18,0
kovalainen,0.0,19,19,0
chandhok,0.0,20,20,0
grassi,0.0,21,21,0
trulli,0.0,22,22,0
bruno_senna,0.0,23,23,0
glock,0.0,24,24,0
webber,93.0,1,1,2
button,88.0,2,2,2
hamilton,84.0,3,3,1
alonso,79.0,4,4,1
vettel,78.0,5,5,1
kubica,67.0,6,6,0
massa,67.0,7,7,0
rosberg,66.0,8,8,0
michael_schumacher,34.0,9,9,0
sutil,22.0,10,10,0
liuzzi,10.0,11,11,0
barrichello,7.0,12,12,0
petrov,6.0,13,13,0
alguersuari,3.0,14,14,0
buemi,1.0,15,15,0
kobayashi,1.0,16,16,0
hulkenberg,1.0,17,17,0
rosa,0.0,18,18,0
kovalainen,0.0,19,19,0
chandhok,0.0,20,20,0
grassi,0.0,21,21,0
trulli,0.0,22,22,0
bruno_senna,0.0,23,23,0
glock,0.0,24,24,0
hamilton,109.0,1,1,2
button,106.0,2,2,2
webber,103.0,3,3,2
alonso,94.0,4,4,1
vettel,90.0,5,5,1
rosberg,74.0,6,6,0
kubica,73.0,7,7,0
massa,67.0,8,8,0
michael_schumacher,34.0,9,9,0
sutil,23.0,10,10,0
