driverId,constructorId,number,position,Q1,Q2,Q3
vettel,red_bull,5,1,1:55.029,1:53.883,1:54.101
massa,ferrari,7,2,1:55.313,1:54.331,1:54.242
alonso,ferrari,8,3,1:54.612,1:54.172,1:54.608
hamilton,mclaren,2,4,1:55.341,1:54.707,1:55.217
rosberg,mercedes,4,5,1:55.463,1:54.682,1:55.241
webber,red_bull,6,6,1:55.298,1:54.318,1:55.284
michael_schumacher,mercedes,3,7,1:55.593,1:55.105,1:55.524
button,mclaren,1,8,1:55.715,1:55.168,1:55.672
kubica,renault,11,9,1:55.511,1:54.963,1:55.885
sutil,force_india,14,10,1:55.213,1:54.996,1:56.309
barrichello,williams,9,11,1:55.969,1:55.330,
liuzzi,force_india,15,12,1:55.628,1:55.623,
hulkenberg,williams,10,13,1:56.375,1:55.857,
rosa,sauber,22,14,1:56.428,1:56.237,
buemi,toro_rosso,16,15,1:56.189,1:56.265,
kobayashi,sauber,23,16,1:56.541,1:56.270,
petrov,renault,12,17,1:56.167,1:56.619,
alguersuari,toro_rosso,17,18,1:57.071,,
glock,virgin,24,19,1:59.728,,
trulli,lotus_racing,18,20,1:59.852,,
kovalainen,lotus_racing,19,21,2:00.313,,
grassi,virgin,25,22,2:00.587,,
bruno_senna,hrt,21,23,2:03.204,,
chandhok,hrt,20,24,2:04.904,,
vettel,red_bull,5,1,1:24.774,1:24.096,1:23.919
webber,red_bull,6,2,1:25.286,1:24.276,1:24.035
alonso,ferrari,8,3,1:25.082,1:24.335,1:24.111
button,mclaren,1,4,1:24.897,1:24.531,1:24.675
massa,ferrari,7,5,1:25.548,1:25.010,1:24.837
rosberg,mercedes,4,6,1:24.788,1:24.788,1:24.884
vettel,red_bull,1,1,1:25.296,1:24.090,1:23.529
hamilton,mclaren,3,2,1:25.384,1:24.595,1:24.307
webber,red_bull,2,3,1:25.900,1:24.658,1:24.395
button,mclaren,4,4,1:25.886,1:24.957,1:24.779
alonso,ferrari,5,5,1:25.707,1:25.242,1:24.974
petrov,renault,10,6,1:25.543,1:25.582,1:25.247
rosberg,mercedes,8,7,1:25.856,1:25.606,1:25.421
massa,ferrari,6,8,1:26.031,1:25.611,1:25.599
kobayashi,sauber,16,9,1:25.717,1:25.405,1:25.626
buemi,toro_rosso,18,10,1:26.232,1:25.882,1:27.066
michael_schumacher,mercedes,7,11,1:25.962,1:25.971,
alguersuari,toro_rosso,19,12,1:26.620,1:26.103,
perez,sauber,17,13,1:25.812,1:26.108,
resta,force_india,15,14,1:27.222,1:26.739,
maldonado,williams,12,15,1:26.298,1:26.768,
sutil,force_india,14,16,1:26.245,1:31.407,
barrichello,williams,11,17,1:26.270,,
heidfeld,renault,9,18,1:27.239,,
kovalainen,lotus_racing,20,19,1:29.254,,
trulli,lotus_racing,21,20,1:29.342,,
glock,virgin,24,21,1:29.858,,
ambrosio,virgin,25,22,1:30.822,,
liuzzi,hrt,23,23,1:32.978,,
karthikeyan,hrt,22,24,1:34.293,,
vettel,red_bull,1,1,1:37.468,1:35.934,1:34.870
hamilton,mclaren,3,2,1:36.861,1:35.852,1:34.974
webber,red_bull,2,3,1:37.924,1:36.080,1:35.179
button,mclaren,4,4,1:37.033,1:35.569,1:35.200
alonso,ferrari,5,5,1:36.897,1:36.320,1:35.802
