driverId,constructorId,number,grid,position,positionText,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,FastestLapSpeed,statusId
alonso,ferrari,8,3,1,1,25,49,1:39:20.396,5960396.0,45.0,1.0,1:58.287,191.706,Finished
massa,ferrari,7,2,2,2,18,49,+16.099,5976495.0,38.0,5.0,1:59.732,189.392,Finished
hamilton,mclaren,2,4,3,3,15,49,+23.182,5983578.0,42.0,4.0,1:59.560,189.665,Finished
vettel,red_bull,5,1,4,4,12,49,+38.799,5999195.0,32.0,12.0,2:00.218,188.627,Finished
rosberg,mercedes,4,5,5,5,10,49,+40.213,6000609.0,45.0,13.0,2:00.236,188.599,Finished
michael_schumacher,mercedes,3,7,6,6,8,49,+44.163,6004559.0,45.0,11.0,2:00.204,188.649,Finished
button,mclaren,1,8,7,7,6,49,+45.280,6005676.0,45.0,9.0,1:59.970,189.017,Finished
webber,red_bull,6,6,8,8,4,49,+46.360,6006756.0,45.0,3.0,1:59.487,189.781,Finished
liuzzi,force_india,15,12,9,9,2,49,+53.008,6013404.0,39.0,7.0,1:59.906,189.118,Finished
barrichello,williams,9,11,10,10,1,49,+1:02.489,6022885.0,47.0,6.0,1:59.833,189.233,Finished
kubica,renault,11,9,11,11,0,49,+1:09.093,6029489.0,33.0,14.0,2:00.474,188.226,Finished
sutil,force_india,14,10,12,12,0,49,+1:22.958,6043354.0,49.0,2.0,1:59.393,189.930,Finished
alguersuari,toro_rosso,17,18,13,13,0,49,+1:32.656,6053052.0,28.0,8.0,1:59.964,189.026,Finished
hulkenberg,williams,10,13,14,14,0,48,,,34.0,15.0,2:01.401,186.789,+1 Lap
kovalainen,lotus_racing,19,21,15,15,0,47,,,47.0,17.0,2:02.701,184.810,+2 Laps
buemi,toro_rosso,16,15,16,16,0,46,,,41.0,10.0,2:00.080,188.844,Electrical
trulli,lotus_racing,18,20,17,17,0,46,,,34.0,18.0,2:02.930,184.465,Hydraulics
rosa,sauber,22,14,18,R,0,28,,,27.0,16.0,2:01.650,186.406,Hydraulics
bruno_senna,hrt,21,23,19,R,0,17,,,14.0,22.0,2:09.127,175.613,Overheating
glock,virgin,24,19,20,R,0,16,,,11.0,21.0,2:07.062,178.467,Gearbox
petrov,renault,12,17,21,R,0,13,,,7.0,19.0,2:04.307,182.422,Suspension
