driverId,constructorId,number,grid,position,positionText,points,laps,time,milliseconds,fastestLap,fastestLapTime,status
max_verstappen,red_bull,33,2,1,1,3,17,25:38.426,1538426.0,14.0,1:30.013,Finished
hamilton,mercedes,44,1,2,2,2,17,+1.430,1539856.0,17.0,1:29.937,Finished
bottas,mercedes,77,3,3,3,1,17,+7.502,1545928.0,17.0,1:29.958,Finished
leclerc,ferrari,16,4,4,4,0,17,+11.278,1549704.0,16.0,1:30.163,Finished
norris,mclaren,4,6,5,5,0,17,+24.111,1562537.0,16.0,1:30.566,Finished
ricciardo,mclaren,3,7,6,6,0,17,+30.959,1569385.0,17.0,1:30.640,Finished
alonso,alpine,14,11,7,7,0,17,+43.527,1581953.0,17.0,1:31.773,Finished
vettel,aston_martin,5,10,8,8,0,17,+44.439,1582865.0,17.0,1:31.687,Finished
russell,williams,63,8,9,9,0,17,+46.652,1585078.0,17.0,1:32.208,Finished
ocon,alpine,31,13,10,10,0,17,+47.395,1585821.0,16.0,1:32.183,Finished
sainz,ferrari,55,9,11,11,0,17,+47.798,1586224.0,10.0,1:31.991,Finished
gasly,alphatauri,10,12,12,12,0,17,+48.763,1587189.0,17.0,1:32.072,Finished
raikkonen,alfa,7,17,13,13,0,17,+50.677,1589103.0,12.0,1:32.139,Finished
stroll,aston_martin,18,15,14,14,0,17,+52.179,1590605.0,12.0,1:32.210,Finished
giovinazzi,alfa,99,14,15,15,0,17,+53.225,1591651.0,14.0,1:32.457,Finished
tsunoda,alphatauri,22,16,16,16,0,17,+53.567,1591993.0,14.0,1:32.270,Finished
latifi,williams,6,18,17,17,0,17,+55.162,1593588.0,17.0,1:32.143,Finished
mick_schumacher,haas,47,19,18,18,0,17,+1:08.213,1606639.0,15.0,1:32.567,Finished
mazepin,haas,9,20,19,19,0,17,+1:17.648,1616074.0,3.0,1:33.462,Finished
perez,red_bull,11,5,20,R,0,16,,,6.0,1:31.465,Vibrations
bottas,mercedes,77,1,1,1,3,18,27:54.078,1674078.0,9.0,1:23.540,Finished
max_verstappen,red_bull,33,3,2,2,2,18,+2.325,1676403.0,9.0,1:23.502,Finished
ricciardo,mclaren,3,5,3,3,1,18,+14.534,1688612.0,17.0,1:24.291,Finished
norris,mclaren,4,4,4,4,0,18,+18.835,1692913.0,9.0,1:24.554,Finished
hamilton,mercedes,44,2,5,5,0,18,+20.011,1694089.0,9.0,1:24.253,Finished
leclerc,ferrari,16,8,6,6,0,18,+23.442,1697520.0,18.0,1:24.677,Finished
sainz,ferrari,55,7,7,7,0,18,+27.952,1702030.0,8.0,1:24.918,Finished
giovinazzi,alfa,99,10,8,8,0,18,+31.089,1705167.0,10.0,1:25.126,Finished
perez,red_bull,11,9,9,9,0,18,+31.680,1705758.0,12.0,1:24.211,Finished
stroll,aston_martin,18,12,10,10,0,18,+38.671,1712749.0,8.0,1:25.349,Finished
alonso,alpine,14,13,11,11,0,18,+39.795,1713873.0,8.0,1:25.225,Finished
vettel,aston_martin,5,11,12,12,0,18,+41.177,1715255.0,8.0,1:25.493,Finished
ocon,alpine,31,14,13,13,0,18,+43.373,1717451.0,8.0,1:25.613,Finished
latifi,williams,6,16,14,14,0,18,+45.977,1720055.0,9.0,1:25.711,Finished
russell,williams,63,15,15,15,0,18,+46.821,1720899.0,15.0,1:25.835,Finished
tsunoda,alphatauri,22,17,16,16,0,18,+49.977,1724055.0,18.0,1:25.847,Finished
mazepin,haas,9,20,17,17,0,18,+1:02.599,1736677.0,7.0,1:26.613,Finished
